eTrappedCharge(C1(n63958_0s_des)) X,eTrappedCharge(C1(n63958_0s_des)) Y,eTrappedCharge(C2(n63958_0s_des)) X,eTrappedCharge(C2(n63958_0s_des)) Y,eTrappedCharge(C3(n63958_0s_des)) X,eTrappedCharge(C3(n63958_0s_des)) Y,eTrappedCharge(C4(n63958_0s_des)) X,eTrappedCharge(C4(n63958_0s_des)) Y,hTrappedCharge(C1(n63958_0s_des)) X,hTrappedCharge(C1(n63958_0s_des)) Y,hTrappedCharge(C2(n63958_0s_des)) X,hTrappedCharge(C2(n63958_0s_des)) Y,hTrappedCharge(C3(n63958_0s_des)) X,hTrappedCharge(C3(n63958_0s_des)) Y,hTrappedCharge(C4(n63958_0s_des)) X,hTrappedCharge(C4(n63958_0s_des)) Y
0.045271952,0,0.045000002,0,0.045000002,0,0.045000002,0,0.045271952,0,0.045000002,0,0.045000002,0,0.045000002,0
0.045499999,0,0.045300081,0,0.045093894,0,0.045436904,0,0.045499999,0,0.045300081,0,0.045093894,0,0.045436904,0
0.045771953,0,0.045499999,0,0.045499999,0,0.045499999,0,0.045771953,0,0.045499999,0,0.045499999,0,0.045499999,0
0.046,0,0.045800082,0,0.045593891,0,0.045936905,0,0.046,0,0.045800082,0,0.045593891,0,0.045936905,0
0.046271954,0,0.046,0,0.046,0,0.046,0,0.046271954,0,0.046,0,0.046,0,0.046,0
0.046500001,0,0.046300083,0,0.046093892,0,0.046436906,0,0.046500001,0,0.046300083,0,0.046093892,0,0.046436906,0
0.046771951,0,0.046500001,0,0.046500001,0,0.046500001,0,0.046771951,0,0.046500001,0,0.046500001,0,0.046500001,0
0.046999998,0,0.046800081,0,0.046593893,0,0.046936903,0,0.046999998,0,0.046800081,0,0.046593893,0,0.046936903,0
0.046999998,0,0.046999998,0,0.046999998,0,0.046999998,0,0.046999998,0,0.046999998,0,0.046999998,0,0.046999998,0
0.047427591,0,0.046999998,0,0.046999998,0,0.046999998,0,0.047427591,0,0.046999998,0,0.046999998,0,0.046999998,0
0.047937501,0,0.047562655,0,0.047761455,0,0.047118306,0,0.047937501,0,0.047562655,0,0.047761455,0,0.047118306,0
